Cost	Requests	Runtime
4553.13124501	439.0	0.000712156295776	
1589.498316	142.0	0.000272035598755	
3550.30072515	322.0	0.000545024871826	
7718.04328303	700.0	0.00125312805176	
2442.12032053	232.0	0.000401020050049	
1548.61673244	169.0	0.000318050384521	
1721.52868229	160.0	0.000283002853394	
5657.60543374	520.0	0.000880002975464	
1268.48984675	114.0	0.000216007232666	
6268.30809932	660.0	0.00108194351196	
2511.70944724	223.0	0.000434160232544	
3644.82302699	348.0	0.000578165054321	
6793.15761225	655.0	0.00105500221252	
2096.31005874	187.0	0.000329971313477	
3143.31975599	277.0	0.000498056411743	
4400.94355217	466.0	0.000794887542725	
7324.85902967	682.0	0.00114703178406	
2015.91005429	186.0	0.000334978103638	
7093.79726264	679.0	0.00118112564087	
7277.66373532	646.0	0.00110483169556	
5411.38087141	554.0	0.000964164733887	
3183.17311676	277.0	0.000509023666382	
7067.71436926	714.0	0.00116300582886	
7553.96083977	688.0	0.00120401382446	
2608.73941367	241.0	0.000422954559326	
3813.88692024	349.0	0.000652074813843	
4649.20207644	430.0	0.000716924667358	
2691.17236047	232.0	0.000403881072998	
1139.51886613	105.0	0.000197887420654	
2204.70853348	196.0	0.000393867492676	
8693.17992472	799.0	0.00134992599487	
594.631036433	34.0	8.6784362793e-05	
2380.63085739	214.0	0.000396966934204	
1075.03214806	70.0	0.000153064727783	
2532.53104424	276.0	0.000477075576782	
3531.42136244	330.0	0.000714063644409	
2710.90577128	268.0	0.000468015670776	
4561.06327108	428.0	0.000773906707764	
3811.20137655	331.0	0.000556945800781	
2964.85957791	257.0	0.000447988510132	
1412.27888642	123.0	0.000232934951782	
9944.40794557	983.0	0.00171613693237	
1253.98133296	114.0	0.000226974487305	
8075.00918188	763.0	0.00132298469543	
2884.58993536	302.0	0.000546932220459	
1675.85602197	159.0	0.000339984893799	
3544.03220951	294.0	0.000502109527588	
2555.9628615	223.0	0.000401020050049	
407.935866429	25.0	7.10487365723e-05	
4819.17655978	436.0	0.000747919082642	
2619.09706077	223.0	0.000412940979004	
3417.31722981	313.0	0.000546932220459	
4288.99838228	394.0	0.000673055648804	
972.783322931	68.0	0.000161170959473	
2170.93308872	205.0	0.000364065170288	
6124.75537634	583.0	0.000986814498901	
9415.22993136	862.0	0.00163388252258	
5154.74333271	475.0	0.000833034515381	
1653.59938392	178.0	0.000342845916748	
683.640263764	60.0	0.000135183334351	
5974.83122226	574.0	0.000990152359009	
2376.04245131	187.0	0.000349044799805	
6758.57982612	601.0	0.00101900100708	
8247.71467726	736.0	0.0012481212616	
3569.54045643	303.0	0.00053882598877	
8328.52044153	806.0	0.00138998031616	
4269.19794252	412.0	0.00071382522583	
3279.12270716	295.0	0.000510215759277	
5996.88125403	609.0	0.000991106033325	
3386.14453433	357.0	0.000603914260864	
10783.9744743	1024.0	0.0017249584198	
13165.9173704	1240.0	0.00217604637146	
3380.49744899	277.0	0.000480890274048	
4785.55343207	447.0	0.000816106796265	
3174.26101032	294.0	0.000586986541748	
1911.03985856	151.0	0.000334978103638	
7352.4167601	645.0	0.0011670589447	
8131.1174143	761.0	0.00130295753479	
5127.65402967	490.0	0.000884056091309	
3541.28773987	331.0	0.000545978546143	
3505.29144924	371.0	0.000608921051025	
1555.68452794	177.0	0.000308036804199	
1877.52308255	195.0	0.000342845916748	
5047.21951763	448.0	0.000811100006104	
2038.12659939	167.0	0.000308036804199	
4323.05738485	416.0	0.00071907043457	
1245.25641044	106.0	0.000202894210815	
3881.26408837	384.0	0.000617980957031	
5733.70714447	538.0	0.000886201858521	
5055.05770933	455.0	0.000792026519775	
2935.40878025	232.0	0.000446081161499	
2902.69344491	302.0	0.000509023666382	
3138.08597736	293.0	0.000606060028076	
821.258357103	105.0	0.000197172164917	
4244.75485234	394.0	0.000813961029053	
3375.33014363	348.0	0.000579833984375	
4973.50349006	447.0	0.000772953033447	
9404.94167974	886.0	0.00242781639099	
6027.72813506	529.0	0.0011191368103	
7118.48955912	653.0	0.00111484527588	
1491.13732641	133.0	0.000257015228271	
5871.25186561	583.0	0.00102186203003	
5365.19636555	457.0	0.000768899917603	
2956.59532912	277.0	0.000486850738525	
1896.68756579	186.0	0.000352144241333	
2735.49869938	295.0	0.000504970550537	
3440.87441206	349.0	0.000720977783203	
2968.53304103	250.0	0.000420093536377	
4525.16473058	421.0	0.00069785118103	
1909.08766619	160.0	0.000291109085083	
5103.66300277	475.0	0.000903129577637	
4906.53573264	430.0	0.000725030899048	
342.516261229	34.0	8.60691070557e-05	
1953.00022408	160.0	0.000327110290527	
2126.55034464	205.0	0.00037407875061	
4059.82912818	356.0	0.000618934631348	
957.227869196	70.0	0.000143051147461	
4807.71379121	447.0	0.000748157501221	
2186.57313625	178.0	0.000356912612915	
2993.58399308	293.0	0.00048303604126	
723.589057845	52.0	0.000118017196655	
4217.57551864	391.0	0.000636100769043	
5793.68827402	493.0	0.000885009765625	
2343.04077165	232.0	0.000401020050049	
2018.36801562	178.0	0.000329971313477	
3121.32758254	321.0	0.000542879104614	
1489.31219732	115.0	0.000211954116821	
2167.74828823	195.0	0.000360012054443	
4924.95947053	439.0	0.000737905502319	
3150.73745824	259.0	0.000456809997559	
1961.18572775	176.0	0.000319004058838	
3680.30043937	349.0	0.00061297416687	
5355.16620557	543.0	0.000964879989624	
7058.77226296	705.0	0.00113296508789	
3782.80426172	322.0	0.000595092773438	
2341.38541125	187.0	0.000337839126587	
2862.00778876	268.0	0.00048303604126	
6963.87162618	574.0	0.000997066497803	
2926.57266157	259.0	0.000463962554932	
2348.45960895	232.0	0.000450849533081	
1923.50955357	177.0	0.000307083129883	
3872.42659992	357.0	0.000648975372314	
1290.37843761	106.0	0.000205993652344	
2605.97769053	276.0	0.000484228134155	
3935.03219497	367.0	0.000630140304565	
878.356348683	79.0	0.000166177749634	
6640.53526728	619.0	0.00111413002014	
5215.64646061	421.0	0.000734090805054	
5711.83991822	547.0	0.000916957855225	
4845.01597583	436.0	0.00073504447937	
2933.34658877	293.0	0.00055193901062	
4481.91761914	473.0	0.000777006149292	
7233.8386247	691.0	0.00115418434143	
819.396586016	85.0	0.000169992446899	
4549.18366311	403.0	0.000684022903442	
2237.3543014	223.0	0.000405073165894	
4538.48060558	394.0	0.00068187713623	
4637.67580807	430.0	0.000730037689209	
5068.77649315	501.0	0.000852108001709	
2120.40005164	196.0	0.000566005706787	
4231.29162401	402.0	0.00117897987366	
5291.47397917	519.0	0.000894069671631	
6415.04406381	601.0	0.0010039806366	
1009.7053752	88.0	0.000169992446899	
2994.75550193	259.0	0.000456094741821	
4291.79453224	394.0	0.000665903091431	
1193.68203161	115.0	0.00022292137146	
3310.76910061	338.0	0.000600099563599	
4112.42781586	384.0	0.000653982162476	
1900.64424688	178.0	0.000310897827148	
1266.9056289	123.0	0.000228881835938	
1541.11178598	151.0	0.000282049179077	
2804.91915646	241.0	0.000436782836914	
7403.63304618	601.0	0.00107192993164	
3866.57586713	358.0	0.00061297416687	
875.481137028	79.0	0.000164031982422	
2934.20818502	232.0	0.000410079956055	
7150.19673549	708.0	0.00156211853027	
